QUEST_LV_0500_20190513_000001	如果必須有人去做這件事，我希望是別人。{nl}為什麼偏偏要讓我做這種事呢？	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20210119_000363	非常感謝你趕來！{nl}歐勒夏現正處於危機當中。	부름에 달려와 주셔서 감사합니다.{nl}오르샤는 지금 위기에 처했습니다.				이네사 해먼데일
QUEST_LV_0500_20210119_000364	從未見過的強悍敵人突然侵襲了奇雷恩地方全區。{nl}我在守護歐勒夏一帶的同時，也向大陸各地正活躍展開活動的啟示者們..	일전에 본 적 없던 강력한 적들이 돌연 키렌 지방 전역을 침공했습니다.{nl}저는 오르샤와 그 일대를 지키고자, 대륙 곳곳에서 활약을 펼치던 계시자분들..				이네사 해먼데일
QUEST_LV_0500_20210119_000365	以及你發出了請求協助的要求。{nl}希望你能幫助歐勒夏一起戰鬥。	그리고 당신에게 도움을 청하게 되었습니다.{nl}부디 오르샤를 도와 함께 싸워주시길 바랍니다.				이네사 해먼데일
QUEST_LV_0500_20210119_000366	謝謝你願意伸出援手。{nl}現在就由我們一起守護這塊祖先們奉獻生命努力守護的歐勒夏吧。	도움의 손길을 잡아주셔서 감사합니다.{nl}가문의 선조들께서 목숨을 바쳐 지켰던 오르샤를 이제는 우리가 함께 지켜낼 겁니다.				이네사 해먼데일
QUEST_LV_0500_20210119_000367	但在那之前，有想找你的人。{nl}如透過村莊的女神奧施莉奈之像前往名叫拉伊瑪聖所的地方，你會找到正在等待你的人。{nl}他說那個地方只有你能前往。	그러나 그 전에, 당신을 찾는 분이 계십니다.{nl}마을의 여신 아우슈리네의 상을 통해 라이마의 성소라 불리는 곳으로 간다면 그 분께서 기다리고 계실 겁니다.{nl}당신만은 그 곳에 올수 있으리라 하시더군요.				이네사 해먼데일
QUEST_LV_0500_20210119_000368	很高興見到你，{nl}啟示者啊。	반갑습니다.{nl}계시자여.				여신 라다
QUEST_LV_0500_20210119_000369	在這種時候見到你，心情並不感到平靜。{nl}在歐勒夏發生的戰火已超越大陸將魔掌延伸到世界了。	이런 때에 만나게 되니 마음이 편하지는 않습니다.{nl}오르샤에 일어난 전운이 대륙을 넘어 세계로 그 손아귀를 뻗고 있습니다.				여신 라다
QUEST_LV_0500_20210119_000370	這次呼喚你來是因為你和我，我們兩人都對這次的事件有責任，{nl}詳細的內容我會在蓮帕拉沙池塘跟你說的。{nl}如你準備好了，我會在蓮帕拉沙池塘那裡等你的。	당신을 부르게 된 건 당신과 나, 우리 둘은 이번 사건에 대해 분명한 책임이 있다는 사실 때문입니다.{nl}자세한 이야기는 렘파라사 연못에서 이야기하겠습니다.{nl}준비되셨다면 렘파라사 연못에서 기다리겠습니다.				여신 라다
QUEST_LV_0500_20210119_000371	你準備好了啊。{nl}我會在蓮帕拉沙池塘等你的。	준비되셨군요.{nl}렘파라사 연못에서 기다리겠습니다.				여신 라다
QUEST_LV_0500_20210119_000372	你來了啊。{nl}要說你和我必須背負的責任..	오셨군요.{nl}당신과 제가 가진 책임에 대해 말씀드리자면..				여신 라다
QUEST_LV_0500_20210119_000373	在這一帶發生的克魯比那事件中，我被魔君主扎烏拉給抓了，{nl}那時我用我的生命力打造了強大的克魯比那。{nl}另外在你之前的旅程中，我看到了注視者持有一部分。	이 일대에서 벌어진 과거의 크루비나 사건 속에서 저는 마군주 자우라에게 붙잡혔고,{nl}그때 제 생명력으로 강력한 크루비나가 만들어졌습니다.{nl}그리고 당신은 지난 여정에서 주시자가 그 일부를 가지고 있는 걸 보았죠.				여신 라다
QUEST_LV_0500_20210119_000374	這聽起來似乎有點不合理，{nl}但這事態的元兇明確來說就是我們兩人。	불합리한 이야기처럼 들릴 수 있으나,{nl}이 사태의 원흉을 똑바로 볼 수 있는 건 우리뿐입니다.				여신 라다
QUEST_LV_0500_20210119_000375	因此我們就更需要去確認這是否是注視者的所作所為了。{nl}可以請你從周遭的魔族那裡找來有幫助的情報嗎？	그러나 이 사태가 확실히 주시자의 행보인지는 조금 더 확신이 필요합니다.{nl}주변의 마족들로부터 도움이 될 정보를 얻어와 주시겠습니까?				여신 라다
QUEST_LV_0500_20210119_000376	更詳細的內容等掌握情況後再告訴你吧。	더 자세한 이야기는 사태를 파악하며 말씀드리겠습니다.				여신 라다
QUEST_LV_0500_20210119_000377	請從周遭的魔族身上找來與注視者相關的證據吧。	주변의 마족들로부터 주시자와 연관이 있을만한 증거를 찾아주세요.				여신 라다
QUEST_LV_0500_20210119_000378	你說蘊藏那邪惡魔力的礦石是由魔族們所持有的？	그 사악한 마력을 품은 광석을 마족들이 가지고 있었다는 말입니까?				여신 라다
QUEST_LV_0500_20210119_000379	你一定曾看過注視者透過混沌取得這礦石吧。	당신은 분명 주시자가 혼돈을 통해 이 광석을 취하는 걸 본 적이 있으시죠.				여신 라다
QUEST_LV_0500_20210119_000380	但必須從混沌中才能出來的礦石怎麼會落入魔族們的手中呢..	그러나 혼돈에서 나와야 할 이 광석이 어떻게 마족들이 가지고 있는 건지..				여신 라다
QUEST_LV_0500_20210119_000381	看來得尋找魔族是從哪裡獲得這礦石的。{nl}透過魔族的記憶將可以找到的。	아무래도 마족들이 이 광석을 어디서 얻었는지 찾아야겠습니다.{nl}마족들의 기억을 통해 찾을 수 있을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000382	如是藍圖魯瑪休憩地應該不會引起太大的注意。	란돌루마 쉼터라면 큰 이목을 끌지 않을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000383	雖不夠充分但透過魔族們的記憶，一定能找到注視者的痕跡的。{nl}但還不能太過肯定。	충분하지는 않았으나 마족들의 기억을 통해 분명히 주시자의 흔적을 보았습니다.{nl}그러나 아직 확신을 얻기에는 모자라는군요.				여신 라다
QUEST_LV_0500_20210119_000384	礦石的來歷仍不明確。	여전히 광석의 정체는 분명하지 않습니다.				여신 라다
QUEST_LV_0500_20210119_000385	再試一次吧。{nl}如用神聖力淨化魔族的靈魂，也許可讀取更多的記憶。	다시 한번 시도해보죠.{nl}마족들의 영혼을 신성력으로 정화하면 더 많은 기억을 읽어낼 수 있을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000386	我會將我的權能分給你一些，{nl}如對阿達塔街道的魔族使用我所給你的祝福，就能淨化魔族的靈魂並引導向我了。	제 권능을 조금 나누어 드리겠습니다.{nl}아다타 가도의 마족들에게 제가 드린 축복을 사용하면 마족의 영혼이 정화되어 저에게 인도될 겁니다.				여신 라다
QUEST_LV_0500_20210119_000387	我就先前往阿達塔街道替你解放力量吧。	저는 먼저 아다타 가도로 가서 힘을 개방해두겠습니다.				여신 라다
QUEST_LV_0500_20210119_000388	終於查出礦石的來歷了。{nl}礦石的名字叫做莫提尼斯..{nl}注視者看著這邪惡的礦石並取了這個名字。	다행히 광석의 정체를 알아냈습니다.{nl}광석의 이름은 머티니스..{nl}주시자는 이 사악한 광석을 두고 그렇게 이름 불렀습니다.				여신 라다
QUEST_LV_0500_20210119_000389	啟示者啊，{nl}注視者想透過莫提尼斯破壞世界..{nl}更精準的來說，是想要破壞神樹。	계시자여,{nl}주시자가 머티니스를 통해 세계를..{nl}정확하게는 신수를 파괴하려 하고 있습니다.				여신 라다
QUEST_LV_0500_20210119_000390	莫提尼斯是可媲美貝爾寶珠的魔力源。{nl}吉特涅曾中斷了貝爾寶珠的供給並令神樹暴走。	머티니스는 벨로브에 견줄 수 있는 마력원입니다.{nl}길티네는 벨로브의 공급을 중단하여 신수를 폭주 시켰습니다.				여신 라다
QUEST_LV_0500_20210119_000391	相反的..{nl}如注視者持續不斷地對神樹供給莫提尼斯，那麼世界就會與神樹的樹根一起腐壞變成可怕的世界了。{nl}如果莫提尼斯的量足夠的話。	반대로..{nl}주시자가 이 머티니스를 신수에 끊임없이 공급한다면 세계는 신수의 뿌리와 함께 통째로 썩어 끔찍한 세계로 변해버릴 겁니다.{nl}머티니스의 양이 충분하다면 말이죠.				여신 라다
QUEST_LV_0500_20210119_000392	在魔族的記憶中看到了在馬爾柯斯伐木場有不尋常的龜裂。{nl}莫提尼斯是從那龜裂中出現的。	마족의 기억 속 말코스 벌목지에서 심상치 않은 균열을 보았습니다.{nl}머티니스는 그 균열에서 나왔을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000393	我會去確認前往加橋森林的那條路，{nl}那就請你去確認馬爾柯斯伐木場吧。{nl}我們在加橋森林見。	저는 덧댄다리 숲으로 가는 길을 확인하겠습니다.{nl}당신은 말코스 벌목지를 확인해주세요.{nl}덧댄다리 숲에서 뵙겠습니다.				여신 라다
QUEST_LV_0500_20210119_000394	我正在等你。	기다리고 있었습니다.				여신 라다
QUEST_LV_0500_20210119_000395	這個真的是在魔族的額頭像角一樣長出來的嗎？	이게 정말 마족의 이마에 뿔처럼 나있었다는 말인가요?				여신 라다
QUEST_LV_0500_20210119_000396	這是克魯比那。	이건 크루비나 입니다.				여신 라다
QUEST_LV_0500_20210119_000397	但有一點不同。{nl}你認為這個是可穿出身體冒出來的嗎？{nl}魔君主扎烏拉透過我所製作的克魯比那也是需要透過裝置的協助才做成的。	그런데 조금은 다르군요.{nl}이게 몸을 뚫고 솟아날 수 있다고 생각하시나요?{nl}마군주 자우라가 저를 통해 만들어낸 크루비나도 장치의 도움을 받아서 만들어냈습니다.				여신 라다
QUEST_LV_0500_20210119_000398	克魯比那也會將人類變成魔族。	크루비나는 인간을 마족으로 만들기도 합니다.				여신 라다
QUEST_LV_0500_20210119_000399	你也曾見過使用克魯比那而轉變的孩子吧。	당신도 크루비나를 사용하고 변해 가던 한 아이를 본 적이 있으시죠.				여신 라다
QUEST_LV_0500_20210119_000400	在這克魯比那中也能感受到我的生命力，{nl}也許注視者是用透過我所製作的克魯比那來讓人類變成魔族的。{nl}這就是我必須對此負起責任的理由。	이 크루비나에는 제 생명력도 조금 느껴집니다.{nl}아마도 주시자가 저를 통해 만들어낸 크루비나로 인간을 마족으로 만들었을 겁니다.{nl}제가 이 사태에 대해 책임을 져야 할 이유죠.				여신 라다
QUEST_LV_0500_20210119_000401	歐勒夏的居民們也不知道是否全變成了魔族。{nl}既然你必須要拯救歐勒夏，那現在你和我似乎是必須要走在一起了。	오르샤의 주민들도 모두 마족이 될지도 모르는 상황입니다.{nl}당신은 오르샤를 구해야 하니 지금은 당신과 제가 가야 할 방향이 같습니다.				여신 라다
QUEST_LV_0500_20210119_000402	我們不僅同路，還得牢牢記住不管何時都要為各自的責任而行動。	우리는 방향이 같을 뿐, 언제까지나 각자의 책임을 위해 움직이고 있다는 사실을 명심해야 합니다.				여신 라다
QUEST_LV_0500_20210119_000403	要是我幫助你，奧施莉奈絕對不會坐視不管的。	제가 당신을 돕게 된다면 아우슈리네님께서 가만히 있지는 않을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000404	這裡是與你剛才經過的蓮帕拉沙池塘相連接的通道。{nl}為了採集莫提尼斯和攻擊歐勒夏，集結的魔族們正掌握著加橋森林。	여기는 방금 당신이 지나온 렘파라사 연못과 연결되는 통로입니다.{nl}머티니스 채굴과 오르샤를 공격하기 위해 집결한 마족들이 덧댄다리 숲을 장악하고 있습니다.				여신 라다
QUEST_LV_0500_20210119_000405	我必須回收魔族正在採集的莫提尼斯，{nl}那你要做些什麼呢？	저는 이 마족들이 채굴하고 있는 머티니스를 회수할 필요가 있습니다.{nl}당신은 무슨 일을 하실 거죠?				여신 라다
QUEST_LV_0500_20210119_000406	看來你很明白嘛。{nl}那麼下次再見了。	잘 이해하고 계시는군요.{nl}그럼 다시 뵙겠습니다.				여신 라다
QUEST_LV_0500_20210119_000407	在你對抗魔族的時候，我看見那些尚未躲避的歐勒夏居民們已安全地回到村莊了。	당신이 마족을 상대하고 있는 사이 미처 피하지 못했던 오르샤의 주민들이 무사히 마을 안으로 들어가는 걸 봤습니다.				여신 라다
QUEST_LV_0500_20210119_000408	你非常優秀地完成了任務。{nl}而我也回收了一部分的莫提尼斯。	당신의 임무를 훌륭히 수행하고 있군요.{nl}저 역시 머티니스를 일부 회수할 수 있었습니다.				여신 라다
QUEST_LV_0500_20210119_000409	為了繼續回收莫提尼斯，我打算前往加橋森林更深處。	저는 머티니스 회수를 계속하기 위해 덧댄다리 숲의 더 깊은 곳으로 갈 생각입니다.				여신 라다
QUEST_LV_0500_20210119_000410	正好離這裡不遠的吉貝尼大道有魔族採集莫提尼斯的龜裂。{nl}那裡的龜裂與你見過的蓮帕拉沙池塘的龜裂不同，那個龜裂並不堅硬看來有調查的價值。	마침 여기서 가까운 지베니 대로에서 마족들이 머티니스를 채굴하던 균열이 있습니다.{nl}그곳의 균열은 당신이 봤던 렘파라사 연못의 균열과 달리 굳어있지 않으니 조사할 가치도 있습니다.				여신 라다
QUEST_LV_0500_20210119_000411	這裡是進入加橋森林唯一的一條路，並且由魔族們佔據著。	여기서 덧댄다리 숲으로 들어가는 유일한 길이고, 마족들이 점거하고있습니다.				여신 라다
QUEST_LV_0500_20210119_000412	我也是正好感受到那魔力而停留在這裡的。{nl}那絕對是注視者的魔力。	저도 마침 그 마력을 느끼고 여기서 멈춰섰습니다.{nl}틀림없이 주시자의 마력이군요.				여신 라다
QUEST_LV_0500_20210119_000413	雖是推測，但魔族為採集莫提尼斯就必須要有那個魔力。{nl}再說一次，只要找到魔力的根源地並進行破壞，就可以阻止莫提尼斯的採集了。	추측이지만, 마족들이 머티니스를 채굴하기 위해서는 반드시 이 마력이 필요할 겁니다.{nl}다시 말해, 마력의 근원지를 찾아 파괴할 수만 있다면 머티니스 채굴을 막을 수 있습니다.				여신 라다
